Position.bp. Rate.cM.Mb. Map.cM.
1186341 0.720597 2.955794
1186502 1.365466 2.95591
1188130 1.370373 2.958133
1188225 1.380066 2.958264
1190523 1.040144 2.961435
1191870 0.921151 2.962836
1192515 0.87805 2.96343
1194804 0.831457 2.96544
1195690 0.771018 2.966177
1196471 0.758582 2.966779
1197591 0.750802 2.967629
1198618 0.766629 2.9684
1201640 0.767567 2.970716
1203938 0.804396 2.97248
1205155 0.812529 2.973459
1206343 0.816333 2.974424
1206619 0.821242 2.97465
1211292 0.876352 2.978487
1217058 1.113618 2.98354
1220136 1.531631 2.986968
1226063 1.231377 2.996046
1226292 1.232175 2.996328
1227249 1.23192 2.997507
1227897 1.233339 2.998306
1231507 0.52024 3.002758
1232319 0.393169 3.00318
1237604 0.362083 3.005258
1240717 0.362411 3.006385
1241964 0.362042 3.006837
1244638 0.360355 3.007806
1246004 0.349232 3.008298
1249187 0.342499 3.009409
1250228 0.342499 3.009766
1254436 0.342345 3.011207
1255130 0.342174 3.011445
1257593 0.342153 3.012287
1260760 0.342185 3.013371
1273278 0.342071 3.017655
1296691 0.342863 3.025663
1305561 0.343877 3.028705
1310924 0.344503 3.030549
1314015 0.71315 3.031614
1356550 1.84494 3.061948
1388289 2.091684 3.120504
1399700 2.103619 3.144372
1425412 1.662202 3.198461
1425700 0.438414 3.198939
1439694 0.443543 3.205074
1443615 0.444517 3.206814
1443985 0.445886 3.206978
1447325 0.444243 3.208467
1450947 0.442988 3.210076
1451769 0.441856 3.210441
1454272 0.442336 3.211546
1456255 0.441778 3.212424
1458567 0.443814 3.213445
1458954 0.443951 3.213617
1460363 0.443991 3.214242
1460416 0.45931 3.214266
1462766 0.528283 3.215345
1462990 0.598518 3.215464
1467485 0.605664 3.218154
1470892 0.608831 3.220217
1474167 0.593914 3.222211
1474304 0.577568 3.222293
1477244 1.626475 3.223991
1477660 2.345128 3.224667
1478153 1.211405 3.225824
1478180 0.346619 3.225856
1481348 0.346288 3.226954
1482838 0.346444 3.22747
1483010 0.343774 3.22753
1483276 0.346901 3.227621
1483484 0.349522 3.227693
1485984 0.376777 3.228567
1486076 0.402657 3.228602
1486834 0.40754 3.228907
1487059 0.432747 3.228999
1488583 0.432955 3.229658
1489670 0.344525 3.230129
1489928 0.21784 3.230218
1492267 0.133722 3.230727
1493747 0.089307 3.230925
1494355 0.07614 3.23098
1497008 0.076026 3.231182
1497201 0.075737 3.231196
1497824 0.075632 3.231243
1498152 0.075613 3.231268
1498377 0.075594 3.231285
1499298 0.075586 3.231355
1500925 0.075586 3.231478
1500941 0.075664 3.231479
1501064 0.075713 3.231488
1505255 0.084892 3.231806
1506035 0.093698 3.231872
1509034 0.850999 3.232153
1510801 1.919996 3.233657
1644836 0.548103 3.491003
1645366 0.614229 3.491294
1647528 0.625897 3.492622
1650845 0.766838 3.494698
1653672 0.766868 3.496866
1706136 0.634283 3.537099
1706160 0.503807 3.537114
1708801 0.120824 3.538444
1711414 0.045253 3.53876
1711698 0.045245 3.538773
1715011 0.045257 3.538923
1717848 0.044584 3.539051
1721479 0.107574 3.539213
1722585 0.087127 3.539332
1722932 0.044941 3.539362
1725261 0.044941 3.539467
1725305 0.044941 3.539469
1727391 0.044946 3.539563
1728136 0.044946 3.539596
1728687 0.044945 3.539621
1731756 0.04495 3.539759
1733219 0.044958 3.539825
1737319 0.044958 3.540009
1737900 0.044958 3.540035
1738371 0.044958 3.540056
1744890 0.044953 3.540349
1745726 0.044948 3.540387
1746156 0.044979 3.540406
1746694 0.044958 3.540431
1748734 0.045117 3.540522
1751264 0.052315 3.540636
1752955 0.127704 3.540725
1753686 0.246373 3.540818
1757337 0.246373 3.541718
1759026 0.134998 3.542134
1759054 0.027102 3.542138
1762005 0.026376 3.542218
1762014 0.025648 3.542218
1763774 0.025648 3.542263
1765583 0.025648 3.542309
1766094 0.025643 3.542322
1770788 0.025636 3.542443
1776269 0.148743 3.542583
1778090 0.243332 3.542854
1778469 0.163439 3.542946
1779036 0.001923 3.543039
1781220 0.001923 3.543043
1781345 0.001923 3.543044
1782565 0.001922 3.543046
1783201 0.001922 3.543047
1787378 0.001922 3.543055
1793003 0.014162 3.543066
1793071 0.03413 3.543067
1793111 0.061222 3.543068
1793212 0.061222 3.543074
1793786 0.269892 3.54311
1795789 0.003976 3.54365
1797947 0.003917 3.543659
1801034 0.003917 3.543671
1804302 0.003917 3.543684
1805391 0.003917 3.543688
1810090 0.003912 3.543706
1812521 0.003912 3.543716
1812688 0.003946 3.543716
1812828 0.003971 3.543717
1818129 0.015564 3.543738
1819378 0.270093 3.543758
1822889 0.280525 3.544706
1823922 0.397242 3.544996
1834748 0.397542 3.549296
1840038 1.272246 3.551399
1844046 2.670233 3.556498
1846073 1.176117 3.561911
1846765 0.31071 3.562725
1853288 0.309404 3.564752
1853394 0.118846 3.564784
1856098 0.112747 3.565106
1865298 0.059245 3.566143
1869334 0.059936 3.566382
1871337 0.366176 3.566502
1873453 0.524807 3.567277
1873514 0.850309 3.567309
1873525 1.183392 3.567318
1873625 1.512854 3.567437
1874326 1.724488 3.568497
1874581 1.810698 3.568937
1875145 1.768851 3.569958
1875267 1.736019 3.570174
1875859 1.736109 3.571202
1881070 0.654419 3.580249
1883359 0.650334 3.581746
1886519 0.713618 3.583802
1888193 4.001318 3.584996
1888369 4.828145 3.5857
1891263 8.052847 3.599673
1892048 8.075874 3.605995
1892325 8.104281 3.608232
1904723 8.09711 3.708708
1916587 8.106319 3.804773
1959163 8.106096 4.149907
1967954 8.108159 4.221168
1981118 3.417778 4.327904
1987762 2.96229 4.350611
1991241 1.45586 4.360917
2001295 1.456042 4.375554
2008736 1.456245 4.386389
2016635 1.456567 4.397892
2023504 1.456692 4.407897
2024064 1.462223 4.408713
2026361 1.903931 4.412071
2026749 2.508994 4.41281
2027901 2.512296 4.4157
2028127 2.520988 4.416268
2028737 2.528985 4.417806
2032911 2.529137 4.428362
2033256 7.78495 4.429235
2034962 7.78495 4.442516
2035379 2.813177 4.445762
2035684 1.494501 4.44662
2035799 0.977172 4.446792
2035977 0.570504 4.446966
2036263 0.562591 4.447129
2036597 0.554886 4.447317
2038732 0.360762 4.448502
2039521 0.352154 4.448786
2039719 0.347748 4.448856
2040763 0.348335 4.449219
2040898 0.349014 4.449266
2040936 0.349952 4.449279
2042336 0.350774 4.449769
2042350 0.351723 4.449774
2042994 0.353176 4.450001
2043080 0.355406 4.450031
2043782 0.355048 4.45028
2044018 0.354689 4.450364
2044037 0.354602 4.450371
2044054 0.354998 4.450377
2044631 0.353704 4.450582
2047547 0.190214 4.451613
2047584 0.047405 4.45162
2051513 0.046164 4.451807
2056735 0.287136 4.452048
2058023 0.373298 4.452417
2060630 0.373292 4.453391
2061969 0.376742 4.45389
2063094 0.44304 4.454314
2063582 0.490197 4.454531
2067708 0.490197 4.456553
2068906 4.00981 4.45714
2068922 4.011097 4.457204
2069172 1.636674 4.458207
2069427 2.155053 4.458625
2069681 2.233044 4.459172
2070601 2.233537 4.461226
2071340 0.129418 4.462877
2071738 0.129383 4.462928
2071765 0.128734 4.462932
2074104 0.11658 4.463233
2075068 0.09413 4.463345
2075251 0.070739 4.463363
2075560 0.05138 4.463385
2075570 0.033499 4.463385
2076055 0.033499 4.463401
2076741 0.031898 4.463424
2077409 0.031634 4.463446
2077872 0.031602 4.46346
2078922 0.031683 4.463493
2080813 0.032875 4.463553
2081642 0.036222 4.463581
2082489 0.08265 4.463611
2082505 0.120579 4.463613
2082566 0.157251 4.46362
2082814 0.157485 4.463659
2083657 0.158036 4.463792
2085140 0.158036 4.464026
2086312 0.093448 4.464211
2086645 0.052235 4.464242
2087557 0.049485 4.46429
2089526 0.047801 4.464387
2090095 0.047297 4.464415
2090816 0.055252 4.464449
2091397 0.082583 4.464481
2091822 0.082583 4.464516
2092283 0.01722 4.464554
2094532 0.01722 4.464593
2096638 0.009691 4.464629
2098078 0.009691 4.464643
2100840 0.007836 4.46467
2101059 0.007836 4.464671
2104981 0.018399 4.464702
2105169 0.018114 4.464706
2105878 0.515487 4.464719
2106438 0.079495 4.465007
2110260 0.242273 4.465311
2113565 0.025517 4.466112
2117155 0.802184 4.466203
2118359 4.294827 4.467169
2118539 1.181337 4.467942
2119833 0.119145 4.469471
2121118 0.083368 4.469624
2137368 0.096176 4.470979
2140261 0.372248 4.471257
2141945 2.89876 4.471884
2142518 4.469724 4.473545
2146966 0.177329 4.493426
2155869 0.176725 4.495005
2156362 0.175688 4.495092
2157948 0.176321 4.495371
2163568 0.290545 4.496362
2165523 0.292961 4.49693
2165621 0.294601 4.496958
2167149 0.294907 4.497408
2169079 0.294501 4.497978
2169357 0.29452 4.49806
2172505 0.294809 4.498987
2172797 0.272244 4.499073
2173504 0.253415 4.499265
2174712 0.254314 4.499571
2176038 0.215962 4.499909
2176126 0.176793 4.499928
2176161 0.138405 4.499934
2176175 0.129093 4.499936
2180524 0.127568 4.500497
2181748 0.127474 4.500653
2182342 0.122548 4.500729
2182470 0.123262 4.500745
2182650 0.121394 4.500767
2182920 0.123309 4.5008
2183056 0.119029 4.500816
2183754 0.101769 4.500899
2184855 0.089209 4.501012
2185400 0.077086 4.50106
2185886 0.073782 4.501098
2186220 0.066371 4.501122
2186985 0.059276 4.501173
2188032 0.053668 4.501235
2188167 0.049102 4.501242
2188826 0.046111 4.501275
2189196 0.042626 4.501292
2189580 0.040214 4.501308
2192433 0.20127 4.501423
2192639 1.691644 4.501464
2192948 0.039141 4.501987
2194015 0.039141 4.502029
2195117 0.039183 4.502072
2198235 0.039595 4.502194
2199057 0.039585 4.502227
2200169 0.040638 4.502271
2200341 0.040783 4.502278
2200404 0.040956 4.50228
2200832 0.042704 4.502298
2201740 0.709511 4.502337
2202774 1.00513 4.50307
2202887 1.346347 4.503184
2202967 1.651832 4.503291
2203328 1.659073 4.503888
2204755 1.66987 4.506255
2204790 1.676231 4.506314
2204972 1.695531 4.506619
2205581 1.396743 4.507651
2207480 1.29318 4.510304
2207513 1.281448 4.510346
2209879 1.277157 4.513378
2211849 1.285129 4.515894
2214587 1.747462 4.519413
2214743 12.63575 4.519686
2215651 19.587703 4.531159
2218100 20.087071 4.579129
2218507 22.212894 4.587305
2220070 22.19405 4.622023
2220126 22.188771 4.623266
2220391 22.186503 4.629146
2220649 11.938937 4.63487
2221222 5.698582 4.641711
2221534 3.362746 4.643489
2222560 1.737693 4.64694
2222583 0.556476 4.64698
2223123 0.548813 4.64728
2223258 0.538785 4.647354
2223645 0.539807 4.647563
2223866 0.544605 4.647682
2224282 0.610958 4.647908
2224645 4.211905 4.64813
2224725 4.260276 4.648467
2224836 3.491496 4.64894
2224876 0.915996 4.64908
2229478 0.997594 4.653295
2231463 0.996792 4.655275
2231595 0.975739 4.655407
2234251 0.94461 4.657999
2234632 0.937956 4.658358
2236697 0.901705 4.660295
2239584 0.901759 4.662899
2240006 0.901812 4.663279
2240383 0.901956 4.663619
2245221 0.844001 4.667983
2251119 2.334936 4.672961
2251160 4.451197 4.673056
2251357 4.799056 4.673933
2251982 4.8293 4.676933
2253327 4.830403 4.683428
2254910 4.829591 4.691075
2258473 1.384729 4.708282
2260563 1.384775 4.711177
2261222 1.389973 4.712089
2263888 1.541878 4.715795
2265026 1.577684 4.717549
2268678 1.595982 4.723311
2269948 1.619788 4.725338
2270098 1.642132 4.725581
2275138 1.018214 4.733857
2280423 1.022993 4.739239
2280661 1.034138 4.739482
2281726 1.112316 4.740583
2281978 1.387942 4.740864
2282135 1.552004 4.741082
2282382 1.603862 4.741465
2282776 1.729034 4.742097
2283117 1.827127 4.742686
2283313 1.892146 4.743045
2283842 1.880324 4.744046
2283896 1.874281 4.744147
2284003 1.870554 4.744348
2284195 1.796075 4.744707
2284486 1.598991 4.745229
2284898 1.236589 4.745888
2285182 0.829821 4.746239
2285414 0.669576 4.746432
2285730 0.624376 4.746644
2286127 0.585542 4.746891
2286947 0.557305 4.747372
2287147 0.558139 4.747483
2287517 0.551358 4.74769
2287616 0.54777 4.747744
2288747 0.651602 4.748364
2288852 9.693516 4.748432
2289250 9.160757 4.75229
2289321 0.785905 4.75294
2290288 0.702423 4.7537
2290660 0.721461 4.753962
2291680 0.518432 4.754698
2292155 0.471323 4.754944
2292352 0.468441 4.755037
2292409 0.4462 4.755063
2292653 0.444019 4.755172
2292688 0.421735 4.755188
2299627 14.04772 4.758114
2299651 24.330739 4.758451
2301471 36.775067 4.802733
2301691 36.775067 4.810824
2302911 9.182095 4.855689
2303512 3.70661 4.861208
2303566 0.920999 4.861408
2306152 0.93737 4.86379
2306695 0.961088 4.864299
2307481 1.029055 4.865054
2307569 1.107779 4.865145
2307678 1.178532 4.865265
2308029 1.250831 4.865679
2308205 1.296111 4.865899
2308224 1.333652 4.865924
2308612 1.342131 4.866441
2309082 1.336994 4.867072
2310193 1.121691 4.868558
2312395 1.114862 4.871028
2314319 1.107345 4.873173
2317494 1.678345 4.876688
2318653 2.786105 4.878634
2319428 3.632245 4.880793
2319530 3.633704 4.881163
2320702 4.235328 4.885422
2324008 11.153746 4.899424
2324881 11.155658 4.909161
2325619 11.15282 4.917394
2326009 3.688983 4.921744
2327075 1.716056 4.925676
2327815 1.357741 4.926946
2328714 1.280231 4.928167
2333031 0.336631 4.933693
2335676 1.214485 4.934584
2339074 7.127127 4.938711
2341952 8.298481 4.959222
2346099 9.068476 4.993636
2351699 5.093243 5.04442
2357810 3.765868 5.075545
2358944 3.513261 5.079815
2359280 3.436234 5.080995
2359862 2.983695 5.082995
2359917 2.673387 5.083159
2359940 2.347565 5.083221
2359981 2.074691 5.083317
2360159 2.074534 5.083686
2361640 4.429144 5.086759
2362020 4.647379 5.088442
2363327 15.122077 5.094516
2366316 15.122589 5.139716
2366354 15.122589 5.140291
2368072 15.122589 5.166271
2368232 14.454267 5.168691
2369498 3.765953 5.18699
2373089 2.870768 5.200513
2374758 1.126231 5.205305
2381568 1.145452 5.212974
2387101 1.22458 5.219312
2390331 1.666045 5.223268
2390588 1.531507 5.223696
2391252 1.278418 5.224713
2391367 1.066595 5.22486
2392339 1.057745 5.225896
2392648 1.053508 5.226223
2394074 2.392527 5.227726
2394226 2.535902 5.228089
2394648 0 5.229159
2395068 0 5.229159
2395194 0 5.229159
2395391 0 5.229159
2395452 0 5.229159
2396454 0 5.229159
2397136 0 5.229159
2401650 0 5.229159
2404256 0 5.229159
2406366 0 5.229159
2406657 0 5.229159
2406887 0 5.229159
2408661 0 5.229159
2408834 0 5.229159
2409235 0 5.229159
2409276 0 5.229159
2409383 0 5.229159
2413634 0 5.229159
2416357 0 5.229159
2418625 0 5.229159
2418935 0 5.229159
2420098 0 5.229159
2420913 0 5.229159
2423566 0 5.229159
2424122 0 5.229159
2424894 0 5.229159
2425992 0 5.229159
2426598 0 5.229159
2426689 0 5.229159
2427368 0 5.229159
2427712 0 5.229159
2430617 0 5.229159
2431057 0 5.229159
2434744 0 5.229159
2439685 0 5.229159
2441358 0 5.229159
2443212 0 5.229159
2446880 0 5.229159
2448868 0 5.229159
2450394 0 5.229159
2452569 0 5.229159
2455863 0 5.229159
2456203 0 5.229159
2462818 0 5.229159
2466633 0 5.229159
2471745 0 5.229159
2473258 0 5.229159
2477150 0 5.229159
2477304 0 5.229159
2482921 0 5.229159
2486110 0 5.229159
2488608 0 5.229159
2490452 0 5.229159
2490513 0 5.229159
2490898 0 5.229159
2490942 0 5.229159
2491060 0 5.229159
2491132 0 5.229159
2491205 0 5.229159
2491306 0 5.229159
2492123 0 5.229159
2492276 0 5.229159
2492435 0 5.229159
2492783 0 5.229159
2492805 0 5.229159
2493360 0 5.229159
2493611 0 5.229159
2493705 0 5.229159
2493755 0 5.229159
2493892 0 5.229159
2494330 0 5.229159
2495495 0 5.229159
2497641 0 5.229159
2498027 0 5.229159
2500639 0 5.229159
2502010 0 5.229159
2502780 0 5.229159
2502834 0 5.229159
2504234 0 5.229159
2504733 0 5.229159
2505301 0 5.229159
2505713 0 5.229159
2507415 0 5.229159
2511280 0 5.229159
2511388 0 5.229159
2512452 0 5.229159
2513055 0 5.229159
2513105 0 5.229159
2513216 0 5.229159
2520302 0 5.229159
2521430 0 5.229159
2524895 0 5.229159
2524915 0 5.229159
2524966 0 5.229159
2525665 0 5.229159
2526746 0 5.229159
2528133 0 5.229159
2528340 0 5.229159
2528682 0 5.229159
2529097 0 5.229159
2532416 0 5.229159
2533552 0 5.229159
2538738 0 5.229159
2539006 0 5.229159
2539901 0 5.229159
2541727 0 5.229159
2542653 0 5.229159
2544640 0 5.229159
2546229 0 5.229159
2551660 0 5.229159
2551785 0 5.229159
2551900 0 5.229159
2552071 0 5.229159
2553624 0 5.229159
2553758 0 5.229159
2694496 0 5.229159
2697713 0 5.229159
2699649 0 5.229159
2704471 0 5.229159
2704474 0 5.229159
2709164 0 5.229159
2713327 0 5.229159
2716624 0 5.229159
2721576 1.189468 5.229159
2723345 0.984899 5.231264
2723552 0.865217 5.231467
2725475 0.864275 5.233131
2725952 0.861886 5.233544
2726864 0.86157 5.23433
2727804 0.856866 5.235139
2730035 0.837807 5.237051
2732681 0.816481 5.239268
2733287 0.763094 5.239763
2733462 0.560071 5.239896
2733587 0.264136 5.239966
2735169 0.292549 5.240384
2735820 0.397395 5.240575
2737486 0.396832 5.241237
2738265 0.286988 5.241546
2738417 0.185293 5.241589
2739933 0.184742 5.24187
2739972 0.180748 5.241878
2742491 0.180505 5.242333
2745883 0.242458 5.242945
2746066 0.323347 5.242989
2747638 2.528029 5.243498
2749614 2.571576 5.248493
2749716 2.655248 5.248755
2749921 2.616434 5.2493
2750437 2.628189 5.25065
2750896 3.037017 5.251856
2752221 3.037613 5.25588
2752265 3.690635 5.256014
2752693 3.760212 5.257593
2753237 3.78429 5.259639
2754406 3.809969 5.264063
2754512 3.839786 5.264467
2755773 3.816383 5.269309
2756397 1.176155 5.27169
2756621 0.683524 5.271954
2756889 0.417769 5.272137
2757196 0.417741 5.272265
2757800 0.373411 5.272517
2761375 0.417514 5.273852
2761863 2.481345 5.274056
2763381 2.479286 5.277823
2764172 1.323692 5.279784
2764438 0.469488 5.280136
2766971 0.470552 5.281325
2769542 0.920171 5.282535
2770182 1.112889 5.283124
2772194 1.132392 5.285363
2774053 1.116778 5.287468
2779043 3.42219 5.293041
2782593 3.411569 5.30519
2782743 3.409817 5.305701
2783040 3.357604 5.306714
2784092 1.574689 5.310246
2784810 1.463705 5.311377
2785671 1.33948 5.312637
2787093 1.337261 5.314542
2787707 1.336925 5.315363
2789108 1.38453 5.317236
2789906 1.529802 5.318341
2789972 1.685414 5.318442
2792801 1.599684 5.32321
2793232 1.652612 5.323899
2794149 1.567673 5.325415
2794253 1.330917 5.325578
2794470 1.524302 5.325867
2794537 1.674989 5.325969
2794551 1.734321 5.325992
2794958 1.730479 5.326698
2795537 1.691995 5.3277
2796001 1.691105 5.328485
2796619 1.672994 5.32953
2796663 1.374958 5.329604
2797266 1.046603 5.330433
2797856 0.882891 5.33105
2798276 0.84883 5.331421
2798439 0.849126 5.33156
2798457 0.977597 5.331575
2798880 0.97746 5.331988
2799179 1.095536 5.332281
2799461 1.472133 5.33259
2799480 10.371393 5.332618
2801459 11.613909 5.353143
2804473 12.214148 5.388147
2805305 12.185496 5.398309
2806107 3.691429 5.408082
2806890 3.629266 5.410972
2809568 2.640878 5.420691
2811814 0.286518 5.426623
2818633 0.292409 5.428577
2820972 0.49097 5.42926
2822146 0.526874 5.429837
2822573 0.53933 5.430062
2822748 0.623699 5.430156
2823316 0.747853 5.43051
2823325 0.79157 5.430517
2823459 1.004536 5.430623
2823506 1.234205 5.43067
2824171 1.099038 5.431491
2824989 1.765218 5.43239
2825154 1.94005 5.432682
2825367 1.890589 5.433095
2826163 1.782751 5.4346
2829551 1.786608 5.44064
2831369 1.811309 5.443888
2835487 3.690312 5.451347
2835692 3.819993 5.452103
2835909 3.228135 5.452932
2836099 1.221148 5.453545
2837771 1.201812 5.455587
2837800 1.261223 5.455622
2839757 0.721526 5.45809
2839989 0.730292 5.458258
2840365 0.711062 5.458532
2841342 0.640594 5.459227
2841880 0.62554 5.459572
2842270 0.620617 5.459816
2842319 0.613672 5.459846
2844254 0.615459 5.461033
2844357 0.614467 5.461097
2846274 1.08694 5.462275
2847488 2.123616 5.463594
2847876 1.684228 5.464418
2847985 1.119652 5.464602
2848656 1.108647 5.465353
2849190 2.856318 5.465945
2849435 2.160899 5.466645
2849488 1.336774 5.466759
2849557 1.396513 5.466852
2850181 0.52311 5.467723
2851119 0.522861 5.468214
2851238 0.499998 5.468276
2852206 0.053793 5.46876
2852707 0.040032 5.468787
2852825 0.035436 5.468792
2853003 0.033971 5.468798
2853612 0.033953 5.468819
2853759 0.034082 5.468824
2854273 0.034142 5.468841
2854371 0.034142 5.468845
2856799 0.034142 5.468927
2858409 0.034266 5.468982
2859007 0.035262 5.469003
2859724 0.185313 5.469028
2860931 0.711456 5.469252
2862320 0.985997 5.47024
2865778 0.797163 5.47365
2865901 0.747978 5.473748
2867148 0.24414 5.47468
2867904 0.176968 5.474865
2867961 0.110999 5.474875
2869913 0.107739 5.475092
2870365 0.107866 5.47514
2870555 0.108025 5.475161
2872808 1.353412 5.475404
2873485 2.094665 5.476321
2875220 2.730009 5.479955
2875906 2.733385 5.481828
2876525 2.709426 5.48352
2878224 7.700467 5.488123
2878307 7.818144 5.488762
2878366 46.275684 5.489223
2879460 46.275684 5.539849
2879640 46.275684 5.548179
2879739 45.951278 5.55276
2880384 1.438249 5.582398
2882653 1.446241 5.585662
2883041 1.456359 5.586223
2883137 1.467842 5.586363
2883858 1.49256 5.587421
2883932 1.530347 5.587531
2884144 1.604687 5.587856
2884552 1.869103 5.588511
2884815 1.86961 5.589002
2885334 1.867523 5.589973
2885358 1.865229 5.590017
2886123 20.563538 5.591444
2886356 20.800725 5.596236
2886466 20.872117 5.598524
2886988 20.872117 5.609419
2887675 14.393685 5.623758
2888019 6.768026 5.628709
2888461 4.405378 5.631701
2889148 1.55879 5.634727
2889577 1.510755 5.635396
2890345 1.503658 5.636556
2890919 1.501562 5.63742
2891115 1.242533 5.637714
2891713 1.122521 5.638457
2896197 41.701325 5.64349
2896735 41.837016 5.665926
2897093 14.924242 5.680903
2898494 13.355225 5.701812
2898515 4.402803 5.702093
2898556 1.059611 5.702273
2898718 1.053076 5.702445
2898731 1.04984 5.702458
2898960 0.65161 5.702699
2899338 0.651698 5.702945
2899603 0.485826 5.703118
2899648 0.324021 5.70314
2900266 0.323248 5.70334
2901951 0.322735 5.703885
2902128 0.306709 5.703942
2902227 0.306899 5.703972
2903159 0.300205 5.704258
2903380 0.300712 5.704324
2903577 0.294741 5.704384
2903628 0.295896 5.704399
2904056 0.296876 5.704525
2905177 0.29325 5.704858
2905605 0.290718 5.704984
2907190 0.29097 5.705444
2907435 0.291826 5.705516
2907667 0.293059 5.705583
2908070 0.298511 5.705702
2908388 0.308949 5.705796
2908999 0.310299 5.705985
2909170 0.310928 5.706038
2909287 0.311113 5.706075
2909371 0.311113 5.706101
2912200 0.303966 5.706981
2912227 0.293303 5.706989
2912403 0.274533 5.707041
2913002 0.221696 5.707205
2915273 0.22161 5.707709
2915334 0.2193 5.707722
2915562 0.218644 5.707772
2916670 1.010707 5.708014
2917335 0.619232 5.708687
2917377 3.264796 5.708713
2917472 3.179596 5.709023
2917565 0.251464 5.709318
2917698 0.240974 5.709352
2917760 0.239411 5.709367
2918229 0.239414 5.709479
2918831 0.239426 5.709623
2918938 0.24221 5.709649
2919123 0.45937 5.709694
2919150 0.765174 5.709706
2919175 1.039049 5.709725
2919222 1.215656 5.709774
2919630 1.219774 5.71027
2919942 1.27164 5.710651
2920019 1.227612 5.710749
